outer_node_id,decay_cosine,epsilon_id,soft_cosine,active_component_count,parent_real,parent_imaginary,reconstructed_real,reconstructed_imaginary,residual_magnitude,relative_closure_residual,valid_for_numeric_UV_claim,valid_for_local_GR_claim,valid_for_full_MTS_claim
Y00,-0.995,E040,-0.9,4,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
Y00,-0.995,E040,-0.6,4,-0.5019700839005633,-0.08060341020953112,-0.5019700839005633,-0.08060341020953112,0.0,0.0,False,False,False
Y00,-0.995,E040,-0.35,4,-0.28206725934867793,-0.031812012394415536,-0.28206725934867793,-0.031812012394415536,0.0,0.0,False,False,False
Y00,-0.995,E040,0.0,4,-0.11429746678094,-0.012626157757852485,-0.11429746678094,-0.012626157757852485,0.0,0.0,False,False,False
Y00,-0.995,E040,0.3,4,-0.03725617688640999,-0.002495430491934472,-0.03725617688640999,-0.002495430491934472,0.0,0.0,False,False,False
Y00,-0.995,E040,0.6,4,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
Y00,-0.995,E040,0.9,4,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
Y00,-0.995,E020,-0.9,4,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
Y00,-0.995,E020,-0.6,4,-0.5009950237869337,-0.08232335474125531,-0.5009950237869337,-0.08232335474125531,0.0,0.0,False,False,False
Y00,-0.995,E020,-0.35,4,-0.28166743315453424,-0.03263742425914625,-0.28166743315453424,-0.03263742425914625,0.0,0.0,False,False,False
Y00,-0.995,E020,0.0,4,-0.11412373018303085,-0.012976223518617871,-0.11412373018303085,-0.012976223518617871,0.0,0.0,False,False,False
Y00,-0.995,E020,0.3,4,-0.037193491032908275,-0.0026206189293870594,-0.037193491032908275,-0.0026206189293870594,0.0,0.0,False,False,False
Y00,-0.995,E020,0.6,4,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
Y00,-0.995,E020,0.9,4,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
