adaptive_interval_count,adaptive_transition_count,component_id,coverage_residual,epsilon_id,family,job_id,maximum_accepted_projective_step,maximum_accepted_reciprocal_residual,maximum_accepted_topology_steps,job_cache_hit,valid_for_numeric_UV_claim,valid_for_local_GR_claim,valid_for_full_MTS_claim
1,0,MC03,0.0,E040,direct:g1:minus/direct:g2:plus,Y04_E040_MC03,0.037107620844636216,4.425118802625305e-12,16384,True,False,False,False
1,0,MC03,0.0,E020,direct:g1:minus/direct:g2:plus,Y04_E020_MC03,0.037107620844636216,4.425118802625305e-12,16384,True,False,False,False
1,0,MC04,0.0,E040,direct:g1:minus/direct:g3:plus,Y04_E040_MC04,0.02647313231025715,2.2204460499120577e-15,8192,True,False,False,False
1,0,MC04,0.0,E020,direct:g1:minus/direct:g3:plus,Y04_E020_MC04,0.02647313231025715,2.2204460499120577e-15,8192,True,False,False,False
1,0,MC07,0.0,E040,direct:g1:plus/direct:g2:minus,Y04_E040_MC07,6.91092471620202e-05,5.995204539096996e-15,4096,True,False,False,False
1,0,MC07,0.0,E020,direct:g1:plus/direct:g2:minus,Y04_E020_MC07,6.91092471620202e-05,5.995204539096996e-15,4096,True,False,False,False
1,0,MC12,0.0,E040,direct:g2:minus/direct:g3:plus,Y04_E040_MC12,0.00122833484078889,1.776356869178752e-15,4096,True,False,False,False
1,0,MC12,0.0,E020,direct:g2:minus/direct:g3:plus,Y04_E020_MC12,0.00122833484078889,1.7763568526351403e-15,4096,True,False,False,False
1,0,MC14,0.0,E040,direct:g3:plus/subtraction:decay:minus,Y04_E040_MC14,0.04542929541624202,4.440892627896187e-16,4096,True,False,False,False
1,0,MC14,0.0,E020,direct:g3:plus/subtraction:decay:minus,Y04_E020_MC14,0.04542929541624202,3.3306692503406624e-16,4096,True,False,False,False
1,0,MC15,0.0,E040,direct:g3:plus/subtraction:decay:plus,Y04_E040_MC15,0.0009140924858108345,4.440892100568578e-16,4096,True,False,False,False
1,0,MC15,0.0,E020,direct:g3:plus/subtraction:decay:plus,Y04_E020_MC15,0.0009140924858108345,4.440892100568578e-16,4096,True,False,False,False
