outer_node_id,decay_cosine,epsilon_id,soft_cosine,active_component_count,parent_real,parent_imaginary,reconstructed_real,reconstructed_imaginary,residual_magnitude,relative_closure_residual,valid_for_numeric_UV_claim,valid_for_local_GR_claim,valid_for_full_MTS_claim
Y01,-0.7035712472806147,E040,-0.9,4,180451.0569937635,-3515.5745070718276,180451.0569937635,-3515.5745070718276,0.0,0.0,False,False,False
Y01,-0.7035712472806147,E040,-0.6,4,-95982.68846540657,2084.8866980534694,-95982.68846540657,2084.8866980534694,0.0,0.0,False,False,False
Y01,-0.7035712472806147,E040,-0.35,4,-50320.39251563356,1053.168525447877,-50320.39251563356,1053.168525447877,0.0,0.0,False,False,False
Y01,-0.7035712472806147,E040,0.0,4,-30024.36132837119,600.2182430576174,-30024.36132837119,600.2182430576174,0.0,0.0,False,False,False
Y01,-0.7035712472806147,E040,0.3,4,-0.04132357130285854,-0.00817212433858798,-0.04132357130285854,-0.00817212433858798,0.0,0.0,False,False,False
Y01,-0.7035712472806147,E040,0.6,4,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
Y01,-0.7035712472806147,E040,0.9,4,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
Y01,-0.7035712472806147,E020,-0.9,4,180470.31279775852,-1757.6658361536347,180470.31279775852,-1757.6658361536347,0.0,0.0,False,False,False
Y01,-0.7035712472806147,E020,-0.6,4,-95995.63908370161,1042.4524119809262,-95995.63908370161,1042.4524119809262,0.0,0.0,False,False,False
Y01,-0.7035712472806147,E020,-0.35,4,-50326.66433292081,526.5877535743725,-50326.66433292081,526.5877535743725,0.0,0.0,False,False,False
Y01,-0.7035712472806147,E020,0.0,4,-30027.761725006934,300.11011909548506,-30027.761725006934,300.11011909548506,0.0,0.0,False,False,False
Y01,-0.7035712472806147,E020,0.3,4,-0.04119704016753604,-0.00837310791550953,-0.04119704016753604,-0.00837310791550953,0.0,0.0,False,False,False
Y01,-0.7035712472806147,E020,0.6,4,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
Y01,-0.7035712472806147,E020,0.9,4,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
