outer_node_id,decay_cosine,epsilon_id,soft_cosine,active_component_count,parent_real,parent_imaginary,reconstructed_real,reconstructed_imaginary,residual_magnitude,relative_closure_residual,valid_for_numeric_UV_claim,valid_for_local_GR_claim,valid_for_full_MTS_claim
Y04,0.995,E040,-0.9,4,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
Y04,0.995,E040,-0.6,4,-0.501970083900825,-0.08060341020976369,-0.501970083900825,-0.08060341020976369,0.0,0.0,False,False,False
Y04,0.995,E040,-0.35,4,-0.28206725934870147,-0.031812012394438816,-0.28206725934870147,-0.031812012394438816,0.0,0.0,False,False,False
Y04,0.995,E040,0.0,4,-0.11429746678110018,-0.012626157757995327,-0.11429746678110018,-0.012626157757995327,0.0,0.0,False,False,False
Y04,0.995,E040,0.3,4,-0.037256176886249326,-0.0024954304917901193,-0.037256176886249326,-0.0024954304917901193,0.0,0.0,False,False,False
Y04,0.995,E040,0.6,4,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
Y04,0.995,E040,0.9,4,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
Y04,0.995,E020,-0.9,4,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
Y04,0.995,E020,-0.6,4,-0.5009950237867877,-0.08232335474112361,-0.5009950237867877,-0.08232335474112361,0.0,0.0,False,False,False
Y04,0.995,E020,-0.35,4,-0.28166743315448944,-0.03263742425910563,-0.28166743315448944,-0.03263742425910563,0.0,0.0,False,False,False
Y04,0.995,E020,0.0,4,-0.11412373018317841,-0.012976223518750237,-0.11412373018317841,-0.012976223518750237,0.0,0.0,False,False,False
Y04,0.995,E020,0.3,4,-0.03719349103270363,-0.0026206189292024068,-0.03719349103270363,-0.0026206189292024068,0.0,0.0,False,False,False
Y04,0.995,E020,0.6,4,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
Y04,0.995,E020,0.9,4,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
