outer_node_id,decay_cosine,epsilon_id,quadrature_order,segment_type,segment_id,lower,upper,segment_length,pole_ids,pole_count,raw_integral_real,raw_integral_imaginary,regular_remainder_real,regular_remainder_imaginary,analytic_singular_real,analytic_singular_imaginary,subtracted_integral_real,subtracted_integral_imaginary,valid_for_numeric_UV_claim,valid_for_local_GR_claim,valid_for_full_MTS_claim
N03,0.9192601348487303,E040,32,REGULAR_COMPLEMENT,S01,-0.995,-0.796766803997755,0.19823319600224498,,0,-0.07569385580847542,-0.017856480285357475,-0.07569385580847542,-0.017856480285357475,0.0,0.0,-0.07569385580847542,-0.017856480285357475,False,False,False
N03,0.9192601348487303,E040,32,REGULAR_COMPLEMENT,S02,-0.796766803997755,-0.7433684166676056,0.053398387330149455,,0,-13615.826073611319,270.44539160287053,-13615.826073611319,270.44539160287053,0.0,0.0,-13615.826073611319,270.44539160287053,False,False,False
N03,0.9192601348487303,E040,32,REGULAR_COMPLEMENT,S03,-0.7433684166676056,0.300000000493601,1.0433684171612065,,0,-501546.68123354047,6400.681779061304,-501546.68123354047,6400.681779061304,0.0,0.0,-501546.68123354047,6400.681779061304,False,False,False
N03,0.9192601348487303,E040,32,REGULAR_COMPLEMENT,S04,0.300000000493601,0.995,0.694999999506399,,0,-0.005682308292749227,-0.0012955186128642418,-0.005682308292749227,-0.0012955186128642418,0.0,0.0,-0.005682308292749227,-0.0012955186128642418,False,False,False
N03,0.9192601348487303,E040,128,REGULAR_COMPLEMENT,S01,-0.995,-0.796766803997755,0.19823319600224498,,0,-0.07056895851313606,-0.016222257850015503,-0.07056895851313606,-0.016222257850015503,0.0,0.0,-0.07056895851313606,-0.016222257850015503,False,False,False
N03,0.9192601348487303,E040,128,REGULAR_COMPLEMENT,S02,-0.796766803997755,-0.7433684166676056,0.053398387330149455,,0,-13615.82607357228,270.4453916448183,-13615.82607357228,270.4453916448183,0.0,0.0,-13615.82607357228,270.4453916448183,False,False,False
N03,0.9192601348487303,E040,128,REGULAR_COMPLEMENT,S03,-0.7433684166676056,0.300000000493601,1.0433684171612065,,0,-501546.7578202104,6400.657175625668,-501546.7578202104,6400.657175625668,0.0,0.0,-501546.7578202104,6400.657175625668,False,False,False
N03,0.9192601348487303,E040,128,REGULAR_COMPLEMENT,S04,0.300000000493601,0.995,0.694999999506399,,0,-0.005480351645230478,-0.0012319060311139001,-0.005480351645230478,-0.0012319060311139001,0.0,0.0,-0.005480351645230478,-0.0012319060311139001,False,False,False
N03,0.9192601348487303,E040,512,REGULAR_COMPLEMENT,S01,-0.995,-0.796766803997755,0.19823319600224498,,0,-0.07177082058670368,-0.016602155619083632,-0.07177082058670368,-0.016602155619083632,0.0,0.0,-0.07177082058670368,-0.016602155619083632,False,False,False
N03,0.9192601348487303,E040,512,REGULAR_COMPLEMENT,S02,-0.796766803997755,-0.7433684166676056,0.053398387330149455,,0,-13615.826073498405,270.44539184688256,-13615.826073498405,270.44539184688256,0.0,0.0,-13615.826073498405,270.44539184688256,False,False,False
N03,0.9192601348487303,E040,512,REGULAR_COMPLEMENT,S03,-0.7433684166676056,0.300000000493601,1.0433684171612065,,0,-501546.7582249516,6400.659167936177,-501546.7582249516,6400.659167936177,0.0,0.0,-501546.7582249516,6400.659167936177,False,False,False
N03,0.9192601348487303,E040,512,REGULAR_COMPLEMENT,S04,0.300000000493601,0.995,0.694999999506399,,0,-0.005511240740334052,-0.0012416846076884565,-0.005511240740334052,-0.0012416846076884565,0.0,0.0,-0.005511240740334052,-0.0012416846076884565,False,False,False
N03,0.9192601348487303,E020,32,REGULAR_COMPLEMENT,S01,-0.995,-0.796766803997755,0.19823319600224498,,0,-0.07542935906152921,-0.018243969876220206,-0.07542935906152921,-0.018243969876220206,0.0,0.0,-0.07542935906152921,-0.018243969876220206,False,False,False
N03,0.9192601348487303,E020,32,REGULAR_COMPLEMENT,S02,-0.796766803997755,-0.7433684166676056,0.053398387330149455,,0,-13617.336606412988,135.22334596519235,-13617.336606412988,135.22334596519235,0.0,0.0,-13617.336606412988,135.22334596519235,False,False,False
N03,0.9192601348487303,E020,32,REGULAR_COMPLEMENT,S03,-0.7433684166676056,0.300000000493601,1.0433684171612065,,0,-501607.73412037943,3200.044517399737,-501607.73412037943,3200.044517399737,0.0,0.0,-501607.73412037943,3200.044517399737,False,False,False
N03,0.9192601348487303,E020,32,REGULAR_COMPLEMENT,S04,0.300000000493601,0.995,0.694999999506399,,0,-0.005661490436715264,-0.0013260053787206216,-0.005661490436715264,-0.0013260053787206216,0.0,0.0,-0.005661490436715264,-0.0013260053787206216,False,False,False
N03,0.9192601348487303,E020,128,REGULAR_COMPLEMENT,S01,-0.995,-0.796766803997755,0.19823319600224498,,0,-0.07032856085218114,-0.01657725906441943,-0.07032856085218114,-0.01657725906441943,0.0,0.0,-0.07032856085218114,-0.01657725906441943,False,False,False
N03,0.9192601348487303,E020,128,REGULAR_COMPLEMENT,S02,-0.796766803997755,-0.7433684166676056,0.053398387330149455,,0,-13617.33660621267,135.2233464833689,-13617.33660621267,135.2233464833689,0.0,0.0,-13617.33660621267,135.2233464833689,False,False,False
N03,0.9192601348487303,E020,128,REGULAR_COMPLEMENT,S03,-0.7433684166676056,0.300000000493601,1.0433684171612065,,0,-501607.81493936304,3200.026590220452,-501607.81493936304,3200.026590220452,0.0,0.0,-501607.81493936304,3200.026590220452,False,False,False
N03,0.9192601348487303,E020,128,REGULAR_COMPLEMENT,S04,0.300000000493601,0.995,0.694999999506399,,0,-0.005460568769558285,-0.0012610050596543443,-0.005460568769558285,-0.0012610050596543443,0.0,0.0,-0.005460568769558285,-0.0012610050596543443,False,False,False
N03,0.9192601348487303,E020,512,REGULAR_COMPLEMENT,S01,-0.995,-0.796766803997755,0.19823319600224498,,0,-0.07090447426865451,-0.0167636284478452,-0.07090447426865451,-0.0167636284478452,0.0,0.0,-0.07090447426865451,-0.0167636284478452,False,False,False
