same_parent_branch_id,path_id,paint_op,operator_sequence,point_count,line_width,stroke_color,fill_color,min_x,max_x,min_y,max_y,span_x,span_y,role_guess,score_ready,valid_prediction_row,valid_for_claim,claim_allowed
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_27,S,ml,2,10.488,black,"rgb(0,0,0)",4619.34,4619.34,775.344,885.609,0.0,110.265,tick_text_or_minor_path,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_28,S,ml,2,14.173,black,"rgb(0,0,0)",4528.92,4552.45,555.945,579.473,23.53,23.528,tick_text_or_minor_path,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_29,S,ml,2,14.173,black,"rgb(0,0,0)",4552.45,4552.45,438.59,579.473,0.0,140.883,tick_text_or_minor_path,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_30,S,ml,2,14.173,black,"rgb(0,0,0)",4668.66,4669.8,544.32,553.395,1.14,9.075,tick_text_or_minor_path,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_31,S,ml,2,14.173,black,"rgb(0,0,0)",4664.98,4668.66,553.395,561.898,3.68,8.503,tick_text_or_minor_path,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_32,S,ml,2,14.173,black,"rgb(0,0,0)",4659.59,4664.98,561.898,568.984,5.39,7.086,tick_text_or_minor_path,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_33,S,ml,2,14.173,black,"rgb(0,0,0)",4652.23,4659.59,568.984,574.652,7.36,5.668,tick_text_or_minor_path,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_34,S,ml,2,14.173,black,"rgb(0,0,0)",4643.72,4652.23,574.652,578.336,8.51,3.684,tick_text_or_minor_path,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_35,S,ml,2,14.173,black,"rgb(0,0,0)",4634.65,4643.72,578.336,579.473,9.07,1.137,tick_text_or_minor_path,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_36,S,ml,2,14.173,black,"rgb(0,0,0)",4625.58,4634.65,578.336,579.473,9.07,1.137,tick_text_or_minor_path,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_37,S,ml,2,14.173,black,"rgb(0,0,0)",4617.07,4625.58,574.652,578.336,8.51,3.684,tick_text_or_minor_path,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_38,S,ml,2,14.173,black,"rgb(0,0,0)",4609.71,4617.07,568.984,574.652,7.36,5.668,tick_text_or_minor_path,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_39,S,ml,2,14.173,black,"rgb(0,0,0)",4604.04,4609.71,561.898,568.984,5.67,7.086,tick_text_or_minor_path,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_40,S,ml,2,14.173,black,"rgb(0,0,0)",4600.64,4604.04,553.395,561.898,3.4,8.503,tick_text_or_minor_path,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_41,S,ml,2,14.173,black,"rgb(0,0,0)",4599.22,4600.64,544.32,553.395,1.42,9.075,tick_text_or_minor_path,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_42,S,ml,2,14.173,black,"rgb(0,0,0)",4599.22,4599.22,473.742,544.32,0.0,70.578,tick_text_or_minor_path,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_43,S,ml,2,14.173,black,"rgb(0,0,0)",4599.22,4600.64,464.668,473.742,1.42,9.074,tick_text_or_minor_path,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_44,S,ml,2,14.173,black,"rgb(0,0,0)",4600.64,4604.04,456.168,464.668,3.4,8.5,tick_text_or_minor_path,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_45,S,ml,2,14.173,black,"rgb(0,0,0)",4604.04,4609.71,448.797,456.168,5.67,7.371,tick_text_or_minor_path,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_46,S,ml,2,14.173,black,"rgb(0,0,0)",4609.71,4617.07,443.41,448.797,7.36,5.387,tick_text_or_minor_path,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_47,S,ml,2,14.173,black,"rgb(0,0,0)",4617.07,4625.58,439.727,443.41,8.51,3.683,tick_text_or_minor_path,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_48,S,ml,2,14.173,black,"rgb(0,0,0)",4625.58,4634.65,438.59,439.727,9.07,1.137,tick_text_or_minor_path,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_49,S,ml,2,14.173,black,"rgb(0,0,0)",4634.65,4643.72,438.59,439.727,9.07,1.137,tick_text_or_minor_path,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_50,S,ml,2,14.173,black,"rgb(0,0,0)",4643.72,4652.23,439.727,443.41,8.51,3.683,tick_text_or_minor_path,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_51,S,ml,2,14.173,black,"rgb(0,0,0)",4652.23,4659.59,443.41,448.797,7.36,5.387,tick_text_or_minor_path,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_52,S,ml,2,14.173,black,"rgb(0,0,0)",4659.59,4664.98,448.797,456.168,5.39,7.371,tick_text_or_minor_path,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_53,S,ml,2,14.173,black,"rgb(0,0,0)",4664.98,4668.66,456.168,464.668,3.68,8.5,tick_text_or_minor_path,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_54,S,ml,2,14.173,black,"rgb(0,0,0)",4668.66,4669.8,464.668,473.742,1.14,9.074,tick_text_or_minor_path,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_55,S,ml,2,14.173,black,"rgb(0,0,0)",4669.8,4669.8,473.742,544.32,0.0,70.578,tick_text_or_minor_path,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_56,S,ml,2,9.35418,black,"rgb(0,0,0)",4705.52,4753.14,568.699,568.699,47.62,0.0,tick_text_or_minor_path,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_57,S,ml,2,9.35418,black,"rgb(0,0,0)",4776.66,4777.52,592.512,598.465,0.86,5.953,tick_text_or_minor_path,False,False,False,False
