accepted,adaptive_node_count,adaptive_topology_steps,base_topology_steps,boundary_polynomial_passed,boundary_projective_passed,boundary_reciprocal_passed,collision_projective_passed,collision_reciprocal_passed,component_id,decay_cosine,dynamic_delta,dynamic_multiplier,epsilon_id,evaluation_elapsed_seconds,family,inserted_node_count,job_id,maximum_boundary_polynomial_residual,maximum_boundary_projective_step,maximum_boundary_reciprocal_residual,maximum_pair_projective_step,maximum_reciprocal_product_residual,minimum_alternate_branch_separation,projective_step_ratio_from_previous,refinement_depth,soft_cosine,state_cache_hit,state_stable_from_previous,state_u,state_v,step_ratio_passed,valid_for_full_MTS_claim,valid_for_local_GR_claim,valid_for_numeric_UV_claim
False,2049,2048,2048,True,True,True,True,True,MC03,-0.995,0,0.0,E040,1.215882199932821,direct:g1:minus/direct:g2:plus,0,Y00_E040_MC03,0.0,0.0,0.0,1.5252404923247495e-05,1.0991207963039799e-14,0.9999999861139639,,0,-0.995,False,False,0,0,False,False,False,False
True,4097,4096,4096,True,True,True,True,True,MC03,-0.995,0,0.0,E040,2.3635764999780804,direct:g1:minus/direct:g2:plus,0,Y00_E040_MC03,0.0,0.0,0.0,7.675698816641337e-06,1.2878587156960489e-14,0.0005353724882477711,0.5032451508641859,0,-0.995,False,True,0,0,True,False,False,False
False,2049,2048,2048,True,True,True,True,True,MC03,-0.995,0,0.0,E040,1.0865794999990612,direct:g1:minus/direct:g2:plus,0,Y00_E040_MC03,0.0,0.0,0.0,6.191611998806429e-05,9.214851471776576e-15,0.9999998043991368,,0,-0.9120833333333334,False,False,0,0,False,False,False,False
True,4097,4096,4096,True,True,True,True,True,MC03,-0.995,0,0.0,E040,2.7930211999919266,direct:g1:minus/direct:g2:plus,0,Y00_E040_MC03,0.0,0.0,0.0,3.115844570740662e-05,1.0214051947535595e-14,0.9999998043991368,0.5032364061800562,0,-0.9120833333333334,False,True,0,0,True,False,False,False
False,2049,2048,2048,True,True,True,True,True,MC03,-0.995,0,0.0,E040,1.2414376999950036,direct:g1:minus/direct:g2:plus,0,Y00_E040_MC03,0.0,0.0,0.0,8.35125855714534e-05,1.1324275523820388e-14,0.9999997009426672,,0,-0.8291666666666666,False,False,0,0,False,False,False,False
True,4097,4096,4096,True,True,True,True,True,MC03,-0.995,0,0.0,E040,2.1680169999599457,direct:g1:minus/direct:g2:plus,0,Y00_E040_MC03,0.0,0.0,0.0,4.2025910275809636e-05,1.4654944165786688e-14,0.9999997009426672,0.5032284653652862,0,-0.8291666666666666,False,True,0,0,True,False,False,False
False,2049,2048,2048,True,True,True,True,True,MC03,-0.995,0,0.0,E040,1.2764632999897003,direct:g1:minus/direct:g2:plus,0,Y00_E040_MC03,0.0,0.0,0.0,9.099836443650511e-05,8.659739776855642e-15,0.9999996745454287,,0,-0.7908122260123491,False,False,0,0,False,False,False,False
True,4097,4096,4096,True,True,True,True,True,MC03,-0.995,0,0.0,E040,2.15573040000163,direct:g1:minus/direct:g2:plus,0,Y00_E040_MC03,0.0,0.0,0.0,4.579265747366587e-05,8.659739776855642e-15,0.9999996745454287,0.5032250607714832,0,-0.7908122260123491,False,True,0,0,True,False,False,False
False,2049,2048,2048,True,True,True,True,True,MC03,-0.995,0,0.0,E040,1.1872800999553874,direct:g1:minus/direct:g2:plus,0,Y00_E040_MC03,0.0,0.0,0.0,9.842585036041677e-05,6.439293625201687e-15,0.9999996579680582,,0,-0.74625,False,False,0,0,False,False,False,False
True,4097,4096,4096,True,True,True,True,True,MC03,-0.995,0,0.0,E040,2.28317920002155,direct:g1:minus/direct:g2:plus,0,Y00_E040_MC03,0.0,0.0,0.0,4.9529985993456295e-05,9.658940417075476e-15,0.9999996579680582,0.5032213164741467,0,-0.74625,False,True,0,0,True,False,False,False
