config,operator_index,operator,quotient_representative_coefficient,checkpoint_marker,valid_for_claim,source_checked_date
N16_m1over2_nearest,6,C3_R_Riemann_squared,1.0057716181921605e-05,MTS_FREE_LATTICE_MULTIGEOMETRY_CONTINUUM_PROJECTOR_4912,False,2026-07-12
N16_m1over2_nearest,7,C4_Ricci_cubed,0.0015677070306719513,MTS_FREE_LATTICE_MULTIGEOMETRY_CONTINUUM_PROJECTOR_4912,False,2026-07-12
N16_m1over2_nearest,8,C5_Ricci_Ricci_Riemann,-0.001075599523653273,MTS_FREE_LATTICE_MULTIGEOMETRY_CONTINUUM_PROJECTOR_4912,False,2026-07-12
N16_m1over2_nearest,9,C6_Ricci_Riemann_Riemann,-0.00030457287581310143,MTS_FREE_LATTICE_MULTIGEOMETRY_CONTINUUM_PROJECTOR_4912,False,2026-07-12
N16_m1over2_nearest,10,C7_I1_Riemann_cubed,0.00017252027943003817,MTS_FREE_LATTICE_MULTIGEOMETRY_CONTINUUM_PROJECTOR_4912,False,2026-07-12
N16_m1over2_nearest,11,C8_I2_Riemann_cubed,0.0015079514809169302,MTS_FREE_LATTICE_MULTIGEOMETRY_CONTINUUM_PROJECTOR_4912,False,2026-07-12
N16_m1over2_improved,0,D1_grad_R_squared,4.9637541509086757e-05,MTS_FREE_LATTICE_MULTIGEOMETRY_CONTINUUM_PROJECTOR_4912,False,2026-07-12
N16_m1over2_improved,1,D2_grad_Ricci_squared,-1.963485851145164e-05,MTS_FREE_LATTICE_MULTIGEOMETRY_CONTINUUM_PROJECTOR_4912,False,2026-07-12
N16_m1over2_improved,2,D3_crossed_grad_Ricci,-0.00018027231509354691,MTS_FREE_LATTICE_MULTIGEOMETRY_CONTINUUM_PROJECTOR_4912,False,2026-07-12
N16_m1over2_improved,3,D4_grad_Riemann_squared,7.83463799445565e-06,MTS_FREE_LATTICE_MULTIGEOMETRY_CONTINUUM_PROJECTOR_4912,False,2026-07-12
N16_m1over2_improved,4,C1_R_cubed,-0.0002230378504285228,MTS_FREE_LATTICE_MULTIGEOMETRY_CONTINUUM_PROJECTOR_4912,False,2026-07-12
N16_m1over2_improved,5,C2_R_Ricci_squared,-0.00020462526681720041,MTS_FREE_LATTICE_MULTIGEOMETRY_CONTINUUM_PROJECTOR_4912,False,2026-07-12
N16_m1over2_improved,6,C3_R_Riemann_squared,-2.4051705146626766e-05,MTS_FREE_LATTICE_MULTIGEOMETRY_CONTINUUM_PROJECTOR_4912,False,2026-07-12
N16_m1over2_improved,7,C4_Ricci_cubed,0.0018140979338531792,MTS_FREE_LATTICE_MULTIGEOMETRY_CONTINUUM_PROJECTOR_4912,False,2026-07-12
N16_m1over2_improved,8,C5_Ricci_Ricci_Riemann,-0.0013958926600268354,MTS_FREE_LATTICE_MULTIGEOMETRY_CONTINUUM_PROJECTOR_4912,False,2026-07-12
N16_m1over2_improved,9,C6_Ricci_Riemann_Riemann,-0.0004535787565515623,MTS_FREE_LATTICE_MULTIGEOMETRY_CONTINUUM_PROJECTOR_4912,False,2026-07-12
N16_m1over2_improved,10,C7_I1_Riemann_cubed,0.00020219129242529657,MTS_FREE_LATTICE_MULTIGEOMETRY_CONTINUUM_PROJECTOR_4912,False,2026-07-12
N16_m1over2_improved,11,C8_I2_Riemann_cubed,0.0017243569729518203,MTS_FREE_LATTICE_MULTIGEOMETRY_CONTINUUM_PROJECTOR_4912,False,2026-07-12
