k_h_per_Mpc,redshift,N,projected_Weyl_response_ratio,raw_full_system_Weyl_response_ratio,projected_minus_raw_response,response_envelope_min,response_envelope_max,response_envelope_width,relative_momentum_residual,valid_for_claim,timestamp_utc
0.1,1100.0,-7.00397413672268,0.9999999999980658,0.9999999999979999,6.583622536027178e-14,0.9999999999979999,0.9999999999980658,6.583622536027178e-14,0.0,False,2026-07-11T05:17:40.590112+00:00
0.1,100.0,-4.61512051684126,0.9999999798125239,0.9999991361393409,8.436731829819522e-07,0.9999991361393409,0.9999999798125239,8.436731829819522e-07,0.0,False,2026-07-11T05:17:40.590112+00:00
0.1,30.0,-3.4339872044851463,0.9999997616806,0.9999983237030935,1.4379775065131994e-06,0.9999983237030935,0.9999997616806,1.4379775065131994e-06,0.0,False,2026-07-11T05:17:40.590112+00:00
0.1,10.0,-2.3978952727983707,0.9999925999582184,0.9999774909511806,1.5109007037827915e-05,0.9999774909511806,0.9999925999582184,1.5109007037827915e-05,0.0,False,2026-07-11T05:17:40.590112+00:00
0.1,5.0,-1.791759469228055,0.9999502681133383,0.9999520463481896,-1.7782348512573876e-06,0.9999502681133383,0.9999520463481896,1.7782348512573876e-06,0.0,False,2026-07-11T05:17:40.590112+00:00
0.1,3.0,-1.3862943611198906,0.9995425120907517,0.9995058365062189,3.667558453279707e-05,0.9995058365062189,0.9995425120907517,3.667558453279707e-05,5.89128419853805e-17,False,2026-07-11T05:17:40.590112+00:00
0.1,2.0,-1.0986122886681098,0.9986287126874857,0.998640613248632,-1.1900561146305222e-05,0.9986287126874857,0.998640613248632,1.1900561146305222e-05,0.0,False,2026-07-11T05:17:40.590112+00:00
0.1,1.0,-0.6931471805599453,0.9965473633050573,0.9966031227552427,-5.5759450185322024e-05,0.9965473633050573,0.9966031227552427,5.5759450185322024e-05,0.0,False,2026-07-11T05:17:40.590112+00:00
0.1,0.5,-0.4054651081081644,0.9925420770119483,0.9925861412027178,-4.4064190769521616e-05,0.9925420770119483,0.9925861412027178,4.4064190769521616e-05,0.0,False,2026-07-11T05:17:40.590112+00:00
0.1,0.0,-0.0,0.9807137126520569,0.9807876891305362,-7.397647847928734e-05,0.9807137126520569,0.9807876891305362,7.397647847928734e-05,0.0,False,2026-07-11T05:17:40.590112+00:00
0.2,1100.0,-7.00397413672268,0.9999999999770343,1.000000000011048,-3.401379178313846e-11,0.9999999999770343,1.000000000011048,3.401379178313846e-11,0.0,False,2026-07-11T05:17:40.590112+00:00
0.2,100.0,-4.61512051684126,0.9999997485351768,0.9999996351119143,1.1342326255991964e-07,0.9999996351119143,0.9999997485351768,1.1342326255991964e-07,0.0,False,2026-07-11T05:17:40.590112+00:00
0.2,30.0,-3.4339872044851463,1.0000435252329176,1.0000435580273457,-3.279442806203292e-08,1.0000435252329176,1.0000435580273457,3.279442806203292e-08,0.0,False,2026-07-11T05:17:40.590112+00:00
0.2,10.0,-2.3978952727983707,1.0000256135082382,1.0000329371176921,-7.323609453990798e-06,1.0000256135082382,1.0000329371176921,7.323609453990798e-06,0.0,False,2026-07-11T05:17:40.590112+00:00
0.2,5.0,-1.791759469228055,1.0000094984080903,1.0000053057936913,4.192614398990102e-06,1.0000053057936913,1.0000094984080903,4.192614398990102e-06,0.0,False,2026-07-11T05:17:40.590112+00:00
0.2,3.0,-1.3862943611198906,0.9995594258722741,0.9995103894968497,4.903637542441608e-05,0.9995103894968497,0.9995594258722741,4.903637542441608e-05,0.0,False,2026-07-11T05:17:40.590112+00:00
0.2,2.0,-1.0986122886681098,0.9985783645148117,0.9985957055154924,-1.7341000680626273e-05,0.9985783645148117,0.9985957055154924,1.7341000680626273e-05,0.0,False,2026-07-11T05:17:40.590112+00:00
0.2,1.0,-0.6931471805599453,0.9964940867436837,0.9964658886182088,2.8198125474832025e-05,0.9964658886182088,0.9964940867436837,2.8198125474832025e-05,0.0,False,2026-07-11T05:17:40.590112+00:00
0.2,0.5,-0.4054651081081644,0.9925908091842336,0.9926995989008062,-0.00010878971657257708,0.9925908091842336,0.9926995989008062,0.00010878971657257708,0.0,False,2026-07-11T05:17:40.590112+00:00
0.2,0.0,-0.0,0.980690173856289,0.9807641845190763,-7.401066278733825e-05,0.980690173856289,0.9807641845190763,7.401066278733825e-05,0.0,False,2026-07-11T05:17:40.590112+00:00
0.3,1100.0,-7.00397413672268,0.9999999995139585,1.0000000000993843,-5.854258189330608e-10,0.9999999995139585,1.0000000000993843,5.854258189330608e-10,1.1095906046191242e-16,False,2026-07-11T05:17:40.590112+00:00
0.3,100.0,-4.61512051684126,0.9999148954953953,0.9998046414644552,0.00011025403094000463,0.9998046414644552,0.9999148954953953,0.00011025403094000463,0.0,False,2026-07-11T05:17:40.590112+00:00
0.3,30.0,-3.4339872044851463,1.0000885528949415,1.0001630097342569,-7.445683931539548e-05,1.0000885528949415,1.0001630097342569,7.445683931539548e-05,0.0,False,2026-07-11T05:17:40.590112+00:00
