checkpoint,target_job_id,cell_id,x_index,t_index,x_lower,x_upper,t_lower,t_upper,epsilon_real_lower,epsilon_real_upper,epsilon_imaginary_lower,epsilon_imaginary_upper,selector_ownership_method,selector_selected_roles,configuration_role,global_arc_index,global_arc_count,failure_message,owner_pivot,owner_family,owner_pivot_abs_lower,owner_pivot_abs_upper,plus_abs_lower,minus_abs_lower,holomorphic_abs_lower,antiholomorphic_abs_lower,unit_circle_abs_lower,all_pivot_uppers_finite,projective_owner_cell_passes
5457,E01__U018__RIGHT_CONNECTOR__MINIMUM_CERTIFIED_OUTER_GAP,x00_t02,0,2,0.753491209302083,0.7541823764913059,3.125e-06,4.6875000000000004e-06,0.0175,0.02,-1e-06,1e-06,CLOSED_REPRESENTATIVE_UNIT_MODULUS_MARGIN,reciprocal,reciprocal,2,4,,holomorphic,plus,0.01063577412974853,0.015027837604751385,0.005620768524503554,0.010069008748985881,0.01063577412974853,0.005058458605935693,2.3759396184337884,True,True
5457,E01__U018__RIGHT_CONNECTOR__MINIMUM_CERTIFIED_OUTER_GAP,x00_t02,0,2,0.753491209302083,0.7541823764913059,3.125e-06,4.6875000000000004e-06,0.0175,0.02,-1e-06,1e-06,CLOSED_REPRESENTATIVE_UNIT_MODULUS_MARGIN,reciprocal,reciprocal,3,4,,holomorphic,plus,0.010635774129992732,0.01502783760513729,0.005620768524503554,0.010069008748985881,0.010635774129992732,0.005058458605719761,2.3759396184862527,True,True
5457,E01__U018__RIGHT_CONNECTOR__MINIMUM_CERTIFIED_OUTER_GAP,x00_t03,0,3,0.753491209302083,0.7541823764913059,4.6875000000000004e-06,6.25e-06,0.0175,0.02,-1e-06,1e-06,CLOSED_REPRESENTATIVE_UNIT_MODULUS_MARGIN,reciprocal,reciprocal,0,4,,holomorphic,plus,0.010635775214728194,0.015027839107449974,0.005620768527947931,0.010069008737387267,0.010635775214728194,0.0050584581082711464,2.375939858381376,True,True
5457,E01__U018__RIGHT_CONNECTOR__MINIMUM_CERTIFIED_OUTER_GAP,x00_t03,0,3,0.753491209302083,0.7541823764913059,4.6875000000000004e-06,6.25e-06,0.0175,0.02,-1e-06,1e-06,CLOSED_REPRESENTATIVE_UNIT_MODULUS_MARGIN,reciprocal,reciprocal,1,4,,holomorphic,plus,0.010635775214498782,0.015027839107067701,0.005620768527947931,0.010069008737387267,0.010635775214498782,0.0050584581084879825,2.3759398583289117,True,True
5457,E01__U018__RIGHT_CONNECTOR__MINIMUM_CERTIFIED_OUTER_GAP,x00_t03,0,3,0.753491209302083,0.7541823764913059,4.6875000000000004e-06,6.25e-06,0.0175,0.02,-1e-06,1e-06,CLOSED_REPRESENTATIVE_UNIT_MODULUS_MARGIN,reciprocal,reciprocal,2,4,,holomorphic,plus,0.010635774140620334,0.015027837604284002,0.005620768527947931,0.010069008737387267,0.010635774140620334,0.005058458609434492,2.3759396184337884,True,True
5457,E01__U018__RIGHT_CONNECTOR__MINIMUM_CERTIFIED_OUTER_GAP,x00_t03,0,3,0.753491209302083,0.7541823764913059,4.6875000000000004e-06,6.25e-06,0.0175,0.02,-1e-06,1e-06,CLOSED_REPRESENTATIVE_UNIT_MODULUS_MARGIN,reciprocal,reciprocal,3,4,,holomorphic,plus,0.010635774140849746,0.015027837604666274,0.005620768527947931,0.010069008737387267,0.010635774140849746,0.005058458609217656,2.3759396184862527,True,True
5457,E01__U018__RIGHT_CONNECTOR__MINIMUM_CERTIFIED_OUTER_GAP,x00_t04,0,4,0.753491209302083,0.7541823764913059,6.25e-06,7.8125e-06,0.0175,0.02,-1e-06,1e-06,CLOSED_REPRESENTATIVE_UNIT_MODULUS_MARGIN,reciprocal,reciprocal,0,4,,holomorphic,plus,0.010635775226355976,0.0150278391079561,0.0056207685322189884,0.010069008726226517,0.010635775226355976,0.005058458112486,2.375939858381376,True,True
5457,E01__U018__RIGHT_CONNECTOR__MINIMUM_CERTIFIED_OUTER_GAP,x00_t04,0,4,0.753491209302083,0.7541823764913059,6.25e-06,7.8125e-06,0.0175,0.02,-1e-06,1e-06,CLOSED_REPRESENTATIVE_UNIT_MODULUS_MARGIN,reciprocal,reciprocal,1,4,,holomorphic,plus,0.010635775226141356,0.015027839107577462,0.0056207685322189884,0.010069008726226517,0.010635775226141356,0.005058458112703739,2.3759398583289117,True,True
5457,E01__U018__RIGHT_CONNECTOR__MINIMUM_CERTIFIED_OUTER_GAP,x00_t04,0,4,0.753491209302083,0.7541823764913059,6.25e-06,7.8125e-06,0.0175,0.02,-1e-06,1e-06,CLOSED_REPRESENTATIVE_UNIT_MODULUS_MARGIN,reciprocal,reciprocal,2,4,,holomorphic,plus,0.010635774152262903,0.01502783760479376,0.0056207685322189884,0.010069008726226517,0.010635774152262903,0.005058458613650249,2.3759396184337884,True,True
5457,E01__U018__RIGHT_CONNECTOR__MINIMUM_CERTIFIED_OUTER_GAP,x00_t04,0,4,0.753491209302083,0.7541823764913059,6.25e-06,7.8125e-06,0.0175,0.02,-1e-06,1e-06,CLOSED_REPRESENTATIVE_UNIT_MODULUS_MARGIN,reciprocal,reciprocal,3,4,,holomorphic,plus,0.010635774152477523,0.0150278376051724,0.0056207685322189884,0.010069008726226517,0.010635774152477523,0.00505845861343251,2.3759396184862527,True,True
