mapped_cell_id,atlas_cell_id,term_id,selected_role,chart_roles,chart_count,trace_orientation,winding_delta,regulator_bin_index,epsilon_subdivision_index,epsilon_subdivision_count,epsilon_real_lower,epsilon_real_upper,epsilon_imaginary_lower,epsilon_imaginary_upper,path_segment,energy_deformation_height,x_lower,x_upper,x_width,t_lower,t_upper,t_width,parameter_area,refinement_depth,refinement_path,lower_energy_boundary,upper_energy_boundary,lower_boundary_discriminant_abs_lower,upper_boundary_discriminant_abs_lower,path_speed_abs_upper,raw_integrand_abs_upper,active_material_branch_ids,active_material_branch_count,pole_gap_abs_lower,material_root_coefficient_abs_lower,material_root_discriminant_abs_lower,material_root_implicit_derivative_abs_lower,pole_correction_abs_upper,regular_integrand_abs_upper,integrated_regular_path_abs_upper,minimum_amplitude_denominator_abs_lower,relative_root_abs_lower,selected_global_root_abs_lower,collision_jacobian_abs_lower,collision_jacobian_enclosure_method,global_contour_radius,global_arc_count,global_regularized_coefficient_abs_upper,path_integral_enclosure_method,external01_path_jacobian_abs_lower,external01_pole_residue_abs_upper,external01_reciprocal_integral_abs_upper,selector_ownership_method,selector_margin_source_role,selector_role_margin_lower,selector_representative_modulus_lower,selector_representative_modulus_upper,selector_margin_failure_category,valid_for_D4_regular_away_contour_deformation,valid_for_D4_numeric_regular_away_W3_bound,valid_for_D4_numeric_event_local_W3_bound,valid_for_D4_numeric_W3_bound,valid_for_D4_numeric_uniform_remainder_bound,valid_for_D4_outer_regulator_zero_limit,valid_for_decay_angle_integral,valid_for_full_angular_convergence,valid_for_full_phase_space_coefficient,valid_for_numeric_UV_claim,valid_for_local_GR_claim,valid_for_full_MTS_claim
S_X006_MC04_SP_DP,X006,MC04_SP_DP,CHART_UNION,representative,1,1,-2,0,0,2,-5e-07,0.01,-5e-07,5e-07,RIGHT_CONNECTOR,0.03,0.32152697246066986,0.3216037840548212,7.68115941513492e-05,0.0,0.00390625,0.00390625,3.000452896537078e-07,17,LLDRDLDRDLDLDRDLD,MC04_SP_DP:Q02,ENERGY_MAXIMUM,3.475089805439656,inf,0.03,175340907969498.03,,0,inf,inf,inf,inf,0.0,175340907969498.03,1578306.4055955645,0.0003981121339601705,2.5653305010279093,1.5603214656755555,11.24768857508134,DIRECT_CENTERED_PROJECTIVE_ALTERNATE,1.560545800362505e-07,4,3947061984992280.0,POINTWISE_SUPREMUM,inf,0.0,0.0,CLOSED_REPRESENTATIVE_UNIT_MODULUS_MARGIN,representative,1.5653305010279093,2.5653305010279093,2.5835829429580275,,True,True,False,False,False,False,False,False,False,False,False,False
S_X006_MC04_SP_DP,X006,MC04_SP_DP,CHART_UNION,representative,1,1,-2,0,0,2,-5e-07,0.01,-5e-07,5e-07,RIGHT_CONNECTOR,0.03,0.32152697246066986,0.3216037840548212,7.68115941513492e-05,0.00390625,0.0078125,0.00390625,3.000452896537078e-07,17,LLDRDLDRDLDLDRDLU,MC04_SP_DP:Q02,ENERGY_MAXIMUM,3.475089805439656,inf,0.03,901159501350854.8,,0,inf,inf,inf,inf,0.0,901159501350854.8,8111659.908210242,0.0006135559906305426,2.549259477396477,1.5603214656755555,3.834524136634034,SUBDIVIDED_PATH_CORRELATED_PROJECTIVE_UNION_8X8,1.560545800362505e-07,4,6872444985283346.0,POINTWISE_SUPREMUM,inf,0.0,0.0,CLOSED_REPRESENTATIVE_UNIT_MODULUS_MARGIN,representative,1.5492594773964772,2.549259477396477,2.5979929140952454,,True,True,False,False,False,False,False,False,False,False,False,False
S_X006_MC04_SP_DP,X006,MC04_SP_DP,CHART_UNION,representative,1,1,-2,0,0,2,-5e-07,0.01,-5e-07,5e-07,RIGHT_CONNECTOR,0.03,0.3216037840548212,0.32168059564897256,7.68115941513492e-05,0.0,0.00390625,0.00390625,3.000452896537078e-07,17,LLDRDLDRDLDLDRDRD,MC04_SP_DP:Q02,ENERGY_MAXIMUM,3.475212469891411,inf,0.03,175514279955370.62,,0,inf,inf,inf,inf,0.0,175514279955370.62,1579866.989027134,0.00039811211866788856,2.565110361185937,1.5604551319211273,11.247828231788894,DIRECT_CENTERED_PROJECTIVE_ALTERNATE,1.560679518473608e-07,4,3951013169832580.0,POINTWISE_SUPREMUM,inf,0.0,0.0,CLOSED_REPRESENTATIVE_UNIT_MODULUS_MARGIN,representative,1.565110361185937,2.565110361185937,2.583362084908254,,True,True,False,False,False,False,False,False,False,False,False,False
S_X006_MC04_SP_DP,X006,MC04_SP_DP,CHART_UNION,representative,1,1,-2,0,0,2,-5e-07,0.01,-5e-07,5e-07,RIGHT_CONNECTOR,0.03,0.3216037840548212,0.32168059564897256,7.68115941513492e-05,0.00390625,0.0078125,0.00390625,3.000452896537078e-07,17,LLDRDLDRDLDLDRDRU,MC04_SP_DP:Q02,ENERGY_MAXIMUM,3.475212469891411,inf,0.03,908026349114472.5,,0,inf,inf,inf,inf,0.0,908026349114472.5,8173470.86799752,0.0006135559690121282,2.5490399714538112,1.5604551319211273,3.8095923084959185,SUBDIVIDED_PATH_CORRELATED_PROJECTIVE_UNION_8X8,1.560679518473608e-07,4,6879785345647360.0,POINTWISE_SUPREMUM,inf,0.0,0.0,CLOSED_REPRESENTATIVE_UNIT_MODULUS_MARGIN,representative,1.5490399714538112,2.5490399714538112,2.5977715969448796,,True,True,False,False,False,False,False,False,False,False,False,False
S_X006_MC04_SP_DP,X006,MC04_SP_DP,CHART_UNION,representative,1,1,-2,0,0,2,-5e-07,0.01,-5e-07,5e-07,RIGHT_CONNECTOR,0.03,0.32152697246066986,0.32168059564897256,0.0001536231883026984,0.0078125,0.015625,0.0078125,1.2001811586148312e-06,15,LLDRDLDRDLDLDRU,MC04_SP_DP:Q02,ENERGY_MAXIMUM,3.474897825371485,inf,0.03,2078497405914300.5,,0,inf,inf,inf,inf,0.0,2078497405914300.5,74837202.74424438,0.0010167729937474905,2.537973340963133,1.5602784689715048,28.018149328483002,SUBDIVIDED_PATH_CORRELATED_PROJECTIVE_UNION_8X16,1.560722513589199e-07,4,1.1530499152302058e+17,POINTWISE_SUPREMUM,inf,0.0,0.0,CLOSED_REPRESENTATIVE_UNIT_MODULUS_MARGIN,representative,1.5379733409631329,2.537973340963133,2.6061197125383897,,True,True,False,False,False,False,False,False,False,False,False,False
S_X006_MC04_SP_DP,X006,MC04_SP_DP,CHART_UNION,representative,1,1,-2,0,0,2,-5e-07,0.01,-5e-07,5e-07,RIGHT_CONNECTOR,0.03,0.32137334927236716,0.32168059564897256,0.0003072463766053968,0.015625,0.03125,0.015625,4.800724634459325e-06,13,LLDRDLDRDLDLU,MC04_SP_DP:Q02,ENERGY_MAXIMUM,3.4742687925215088,inf,0.03,8753554742224777.0,,0,inf,inf,inf,inf,0.0,8753554742224777.0,1260702176.7026017,0.0010700100330545297,2.522720568501936,1.5599252630477667,20.399646178519586,SUBDIVIDED_PATH_CORRELATED_PROJECTIVE_UNION_8X16,1.5608084694589448e-07,4,3.5135814934376166e+17,POINTWISE_SUPREMUM,inf,0.0,0.0,CLOSED_REPRESENTATIVE_UNIT_MODULUS_MARGIN,representative,1.5227205685019358,2.522720568501936,2.6170020386760795,,True,True,False,False,False,False,False,False,False,False,False,False
S_X006_MC04_SP_DP,X006,MC04_SP_DP,CHART_UNION,representative,1,1,-2,0,0,2,-5e-07,0.01,-5e-07,5e-07,RIGHT_CONNECTOR,0.03,0.32168059564897256,0.3217574072431239,7.68115941513492e-05,0.0,0.00390625,0.00390625,3.000452896537078e-07,17,LLDRDLDRDLDRDLDLD,MC04_SP_DP:Q02,ENERGY_MAXIMUM,3.4753350941419594,inf,0.03,175687855593920.84,,0,inf,inf,inf,inf,0.0,175687855593920.84,1581429.405609503,0.00039811210337566686,2.5648902281265764,1.560588816982933,11.247967485104319,DIRECT_CENTERED_PROJECTIVE_ALTERNATE,1.5608132554157362e-07,4,3954968893016082.5,POINTWISE_SUPREMUM,inf,0.0,0.0,CLOSED_REPRESENTATIVE_UNIT_MODULUS_MARGIN,representative,1.5648902281265764,2.5648902281265764,2.583141233537367,,True,True,False,False,False,False,False,False,False,False,False,False
S_X006_MC04_SP_DP,X006,MC04_SP_DP,CHART_UNION,representative,1,1,-2,0,0,2,-5e-07,0.01,-5e-07,5e-07,RIGHT_CONNECTOR,0.03,0.32168059564897256,0.3217574072431239,7.68115941513492e-05,0.00390625,0.0078125,0.00390625,3.000452896537078e-07,17,LLDRDLDRDLDRDLDLU,MC04_SP_DP:Q02,ENERGY_MAXIMUM,3.4753350941419594,inf,0.03,914992390951118.2,,0,inf,inf,inf,inf,0.0,914992390951118.2,8236174.709216006,0.0006135559473938097,2.5488204723917525,1.560588816982933,3.7846292576612135,SUBDIVIDED_PATH_CORRELATED_PROJECTIVE_UNION_8X8,1.5608132554157362e-07,4,6887134532305969.0,POINTWISE_SUPREMUM,inf,0.0,0.0,CLOSED_REPRESENTATIVE_UNIT_MODULUS_MARGIN,representative,1.5488204723917525,2.5488204723917525,2.597550286365879,,True,True,False,False,False,False,False,False,False,False,False,False
S_X006_MC04_SP_DP,X006,MC04_SP_DP,CHART_UNION,representative,1,1,-2,0,0,2,-5e-07,0.01,-5e-07,5e-07,RIGHT_CONNECTOR,0.03,0.3217574072431239,0.32183421883727525,7.68115941513492e-05,0.0,0.00390625,0.00390625,3.000452896537078e-07,17,LLDRDLDRDLDRDLDRD,MC04_SP_DP:Q02,ENERGY_MAXIMUM,3.4754576781855566,inf,0.03,175861635167283.0,,0,inf,inf,inf,inf,0.0,175861635167283.0,1582993.6578822632,0.0003981120880835055,2.564670101847095,1.560722520866418,11.248106334764147,DIRECT_CENTERED_PROJECTIVE_ALTERNATE,1.5609470111943413e-07,4,3958929160549102.0,POINTWISE_SUPREMUM,inf,0.0,0.0,CLOSED_REPRESENTATIVE_UNIT_MODULUS_MARGIN,representative,1.5646701018470952,2.564670101847095,2.582920388842626,,True,True,False,False,False,False,False,False,False,False,False,False
S_X006_MC04_SP_DP,X006,MC04_SP_DP,CHART_UNION,representative,1,1,-2,0,0,2,-5e-07,0.01,-5e-07,5e-07,RIGHT_CONNECTOR,0.03,0.3217574072431239,0.32183421883727525,7.68115941513492e-05,0.00390625,0.0078125,0.00390625,3.000452896537078e-07,17,LLDRDLDRDLDRDLDRU,MC04_SP_DP:Q02,ENERGY_MAXIMUM,3.4754576781855566,inf,0.03,922059787589761.4,,0,inf,inf,inf,inf,0.0,922059787589761.4,8299790.881362186,0.0006135559257755868,2.5486009802075755,1.560722520866418,3.7596349445826247,SUBDIVIDED_PATH_CORRELATED_PROJECTIVE_UNION_8X8,1.5609470111943413e-07,4,6894492557242744.0,POINTWISE_SUPREMUM,inf,0.0,0.0,CLOSED_REPRESENTATIVE_UNIT_MODULUS_MARGIN,representative,1.5486009802075755,2.5486009802075755,2.597328982355496,,True,True,False,False,False,False,False,False,False,False,False,False
